Zeit (ns),Daten (Hex)
995,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002b310e03406100
1005,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000d5778ab1622a80
1015,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fcbbc595e1a280
1025,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012e5f2129ee420
1035,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002cba2323d76400
1045,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000176f2a094c2840
1055,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016808f0f877d20
1065,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102c71a99ece5e0
1075,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a65b56a2f5320
1085,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054844aeb9f6a0
1095,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ebb9d158cd440
1105,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ee949da78efc60
1115,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001031b0a9e1d96c0
1125,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110f37f11bdd540
1135,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002dc46a7e34d8e0
1145,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000068970e5647f680
1155,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000155a374abf5ea0
1165,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f34c92389fe380
1175,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ed6cbf62e12e0
1185,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000d3498a60d4500
1195,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000978bfab61f700
1205,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000d83460d0eda60
1215,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010816ca16ebd660
1225,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001029a0a4458b600
1235,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a4ee5ce2ef7e0
1245,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000a330cc636ba40
1255,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c23fc737f7de0
1265,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006f2e4978486de0
1275,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f5f330a86f8c0
1285,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fece9e85cdbd00
1295,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015ff4222168a40
1305,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010b6e2ea2349ae0
1315,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000fdc157f09049a0
1325,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f4e6b61cfcf680
1335,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127a3adecd4ba0
1345,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e86238f4ea740
1355,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163d24319c4980
1365,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000048e2ee2a665a0
1375,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f384f8d25cd20
1385,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009ffecbfd00560
