Zeit (ns),Daten (Hex)
1345,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004d291cfe3585e0
1355,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000d927ee543596e0
1365,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f7350f75356ea0
1375,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013d0dd967bbf80
1385,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000067286eeefc35e0
1395,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001d46812e621fc0
1405,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000250932d9beb1a0
1415,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001362cf1f214d3c0
1425,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018a7fe56ae0000
1435,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001479353c5eea80
1445,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011da096998a180
1455,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011faaa713e65200
1465,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000118e47ef50f52e0
1475,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011546cb3d4850c0
1485,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005ac4da9376efc0
1495,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000d3c1069db37f20
1505,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001f9135c1ed2360
1515,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f6529749645760
1525,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000297d8496c0c800
1535,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001a6fba10962180
1545,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015d4b7b8a59920
1555,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013ca1852043ba0
1565,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012c93cedc92cae0
1575,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105efc28ad20760
1585,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011e0a672ff2a20
1595,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026210895a875c0
1605,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015cf97254cd000
1615,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001334b663778bc80
1625,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012f4f7f411e600
1635,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013090a23f2bfe00
1645,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000188eda137362e0
1655,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011a25acc1e122c0
1665,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127e52d41086f20
1675,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010e6c455ae45460
1685,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001f4ea377a492e0
1695,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c22a4696f3780
