Zeit (ns),Daten (Hex)
1295,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e6ae3df9ac6c0
1305,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001af679601f46a0
1315,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024d59c8e73a620
1325,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002a7067c176a980
1335,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000344afe3ede7040
1345,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018d876e71b1b20
1355,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024e7d51711f460
1365,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206c7ef812c240
1375,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002619f416229760
1385,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001f656093a62d40
1395,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001daef113a75a00
1405,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003ee03eeac5efc0
1415,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022e67e086e00c0
1425,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000274c9ef79ff4c0
1435,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024ee28f91af4c0
1445,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000056befbec8d7040
1455,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000348c7c4e25ec80
1465,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d2372755c5520
1475,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023e984f6f9c800
1485,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e16f15191a420
1495,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022632d56338020
1505,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019e099df275c40
1515,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013c1db177eaaa0
1525,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019f6f1c9f4b480
1535,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013156d8f6bd1c0
1545,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023c3c4d2228480
1555,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019382d11e32800
1565,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b5b10e330ae20
1575,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000230784e8aa7160
1585,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012ab47a06b7e20
1595,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f41bcdb481be0
1605,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012b32c7880dc60
1615,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015fac249c69dc0
1625,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012f52356852100
1635,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016bf1d1f01a560
1645,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c8d9a272676c0
1655,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022680455e00360
1665,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018a5e4e0aad4c0
1675,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022977df036ea20
1685,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000188b2262786fe0
1695,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000728055e66389c0
1705,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001447b1bfb506e0
1715,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003466d3959bd9e0
1725,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252db574d2bd20
1735,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060e337c774f980
1745,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000334bf5ed979980
1755,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002437a4407b1840
1765,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001f55d32863afe0
1775,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002a69cb5599eee0
1785,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000196ece3f6fdf20
1795,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000034a3a21182efc0
1805,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142f1f2dabac40
1815,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001a9bd179ec5260
1825,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c697ff85a26e0
1835,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001bd0a6db4452a0
1845,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b8de81ad75ea0
1855,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000284b0b354014c0
1865,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121e87a00ed140
1875,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221ff8c7099000
1885,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002393545f3eb600
1895,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001859de8d2cb860
1905,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023fe8493196740
1915,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003546e45547a440
1925,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017762ac3e70ce0
1935,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000178b4f0766aa00
1945,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027703092c43d80
1955,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002ce6d2d20fa100
1965,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013c9780d22b980
1975,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002a44419d0dc580
1985,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000134c9ec6c771c0
1995,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017e0c7b2df5bc0
2005,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003a6d5ddee61520
2015,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000efbef875ea840
2025,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001869c329a46960
2035,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b1d6918935080
2045,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002464fbeea80340
2055,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031881395e33980
2065,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b5cbcda279b8e0
2075,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001947f27d21df60
2085,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035ff56703c6940
2095,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014b83b4bd0fcc0
2105,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001a4836ebdd41c0
2115,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004945e67c58a7e0
2125,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000250d59148acf60
2135,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003478de80b36260
2145,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001f9ccfa39b2c40
2155,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020942c92f02800
2165,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002c300585c36d60
2175,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002bbd215c463a00
2185,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000115723e891fb80
2195,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174c2346bc0e40
2205,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035be19f4a1bce0
2215,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015066e1f299980
2225,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001997333cb710e0
2235,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022135f96a7cee0
2245,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001ab5ae5aa45780
2255,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125ca0af90dbc0
2265,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002c916fcdf7efe0
2275,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000447ca458c0ffe0
2285,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017f59f45291020
2295,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010787732a6d100
2305,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e884318b3cd40
2315,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052e62511601660
2325,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021db9873078420
2335,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004068216de7c340
2345,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000137c1ea60a3b20
2355,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001da2fcd961ddc0
2365,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179a85379b56e0
2375,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001921da27157980
2385,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000214feb415d3f20
2395,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027f191f65b31e0
2405,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c82649e0f34c0
2415,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219a53f76d61c0
2425,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001d17db1dd59580
2435,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b5b363bcbb3c0
2445,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004ecab3f5c352e0
2455,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001171c553155fe0
2465,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016329d8116c940
2475,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001af0827e100200
2485,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016460ab102c160
