Zeit (ns),Daten (Hex)
1345,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000040ec6ad14c95a0
1355,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221285f92ca020
1365,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011ebf22b7763960
1375,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003799e58fa5f3c0
1385,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ad0df6ccf5b80
1395,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051a235f5f8e0c0
1405,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031800e20463540
1415,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001a5c5956d0b4e0
1425,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000187f1ee347ac40
1435,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002b7b648816a9c0
1445,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197c735235baa0
1455,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000169a61fa18cba0
1465,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000049dd86e8487a60
1475,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022ecfd91d68640
1485,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303749d3f74980
1495,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b0ccdcaecdb40
1505,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003592d428c744c0
1515,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003178e6e5ade8c0
1525,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000405d7d3d643fe0
1535,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003192d19f0288e0
1545,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003051f08366a1c0
1555,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121875c7d9fb40
1565,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001ad5b8ec2cdc20
1575,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d481e906d94c0
1585,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001746502996af60
1595,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001d7126355b1e60
1605,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001604cfa1b6c160
1615,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000182dc6c16066c0
1625,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219129294697e0
1635,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e98d9f0332d00
1645,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002064698276d200
1655,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003cd4d384325140
1665,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003b11d67b336a00
1675,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000023dd9995513d00
1685,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124238b293715c0
1695,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000285f86aa062580
1705,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000defc95483eda0
1715,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022b1f26495f3a0
1725,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001ccf8d67a12120
1735,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b59e16a58e4da0
1745,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000043af99d2e0bb40
1755,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002a3130282f5040
1765,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003c0dd2d6876ca0
1775,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002f30820d0eb700
1785,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044c8228ebe6fa0
1795,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021ce34fdc71560
1805,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006489228886e3c0
1815,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001d045d0b749940
1825,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001fa54e857ec6e0
1835,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000485e793d2bd920
1845,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002b753ef4cf76e0
1855,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003ad89692c033c0
