# Logging memory of PID 223117
# Command: python prepreprossing.py
# Time                 Elapsed_s   VmRSS_kB   VmHWM_kB   VmSize_kB   %MEM
2026-03-12 10:59:20  0.00184536  8956       9168       16620       0.0   
2026-03-12 10:59:20  0.233802    53716      53744      133036      0.0   
2026-03-12 10:59:20  0.465482    91708      92000      184616      0.0   
2026-03-12 10:59:21  0.697106    113820     113820     223632      0.0   
2026-03-12 10:59:21  0.931004    257464     260100     18418052    0.1   
2026-03-12 10:59:21  1.16365     454240     456288     18429416    0.2   
2026-03-12 10:59:21  1.39544     681576     681576     18429416    0.3   
2026-03-12 10:59:22  1.62735     902924     902924     18429576    0.4   
2026-03-12 10:59:22  1.859       1179404    1179404    18429576    0.6   
2026-03-12 10:59:22  2.09045     1451788    1451788    18429576    0.7   
2026-03-12 10:59:22  2.32252     1681164    1681164    18429576    0.8   
2026-03-12 10:59:23  2.55399     1935116    1937164    18429576    0.9   
2026-03-12 10:59:23  2.78594     2217740    2219788    18429576    1.1   
2026-03-12 10:59:23  3.01751     2500364    2498960    18429576    1.2   
2026-03-12 10:59:23  3.24883     2778892    2780940    18429576    1.4   
2026-03-12 10:59:23  3.48069     3051276    3053324    18429576    1.5   
2026-03-12 10:59:24  3.7132      3331852    3333900    18429576    1.7   
2026-03-12 10:59:24  3.94503     3555084    3557132    18429576    1.8   
2026-03-12 10:59:24  4.17699     3787524    3789572    18430592    1.9   
2026-03-12 10:59:24  4.40911     4070304    4070304    18430748    2.0   
2026-03-12 10:59:25  4.64109     4320160    4320160    18430748    2.2   
2026-03-12 10:59:25  4.87289     4469664    4469664    18430748    2.2   
2026-03-12 10:59:25  5.10442     4658080    4658080    18430748    2.3   
2026-03-12 10:59:25  5.3365      4875168    4875168    18430748    2.4   
2026-03-12 10:59:26  5.56872     4955040    4955040    18430748    2.5   
2026-03-12 10:59:26  5.80037     5197348    5198592    18430748    2.6   
2026-03-12 10:59:26  6.03269     5405600    5406244    18430748    2.7   
2026-03-12 10:59:26  6.26445     5686176    5686176    18430748    2.8   
2026-03-12 10:59:26  6.4981      5966752    5968800    18430748    3.0   
2026-03-12 10:59:27  6.72997     6243232    6243232    18430748    3.1   
2026-03-12 10:59:27  6.96158     6512660    6515616    18430748    3.3   
2026-03-12 10:59:27  7.19306     6798240    6798240    18430748    3.4   
2026-03-12 10:59:27  7.42469     7054240    7054240    18430748    3.5   
2026-03-12 10:59:28  7.65679     7329692    7331740    18431768    3.7   
2026-03-12 10:59:28  7.88782     7466564    7468956    18431768    3.7   
2026-03-12 10:59:28  8.11988     7589788    7591836    18431768    3.8   
2026-03-12 10:59:28  8.35199     7796636    7796636    18431768    3.9   
2026-03-12 10:59:29  8.58411     8054684    8054684    18431768    4.0   
2026-03-12 10:59:29  8.81632     8331164    8333212    18431768    4.2   
2026-03-12 10:59:29  9.04804     8606236    8607464    18431768    4.3   
2026-03-12 10:59:29  9.27949     8873884    8873884    18431768    4.5   
2026-03-12 10:59:30  9.51083     9133980    9133980    18431768    4.6   
2026-03-12 10:59:30  9.74271     9232284    9234332    18431768    4.6   
2026-03-12 10:59:30  9.97459     9510812    9512860    18431768    4.8   
2026-03-12 10:59:30  10.2073     9789340    9791388    18431768    4.9   
2026-03-12 10:59:30  10.4389     10071964   10074012   18431768    5.1   
2026-03-12 10:59:31  10.6706     10318888   10320936   18432932    5.2   
2026-03-12 10:59:31  10.904      10601512   10603560   18432932    5.3   
2026-03-12 10:59:31  11.1357     10816552   10816552   18432932    5.4   
